"ID_CHARACTER","ID_SCENE","ID_PLACE","ID_DIALOGUE","SENTIMENT_AFINN","DIALOGUE_LENGTH","LOVE_COUNT","INSERTED_AT","UPDATED_AT"
"4","1","8","1","0.0","10","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"7","1","8","2","5.0","9","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"4","1","8","3","-2.0","9","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"7","1","8","4","0.0","3","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"4","1","8","5","0.0","4","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"4","1","8","7","1.0","9","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"4","1","8","14","3.0","14","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"4","1","8","16","6.0","3","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"21","2","8","28","0.0","4","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"31","2","8","39","-3.0","2","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"31","2","8","42","0.0","3","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"1","3","8","51","0.0","1","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"21","3","8","54","-1.0","6","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"32","3","8","55","2.0","21","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"21","3","8","63","2.0","8","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"21","3","8","74","0.0","3","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"1","4","10","102","6.0","21","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"5","6","2","148","0.0","34","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"32","2","8","19","0.0","7","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"31","2","8","46","0.0","2","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"1","3","8","61","3.0","14","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"1","3","8","65","0.0","6","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"1","9","71","180","-3.0","20","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"5","11","33","229","0.0","18","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"31","2","8","35","0.0","3","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"31","4","10","87","0.0","3","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"4","1","8","9","-2.0","5","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"128","12","36","247","0.0","4","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"141","13","28","295","0.0","1","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"31","2","8","41","3.0","12","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"130","6","2","147","0.0","8","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"1","8","5","168","-3.0","19","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"2","10","42","199","0.0","7","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"5","4","10","97","0.0","4","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"132","5","5","132","0.0","12","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"1","10","42","208","0.0","4","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"5","8","5","167","0.0","8","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"1","6","2","145","0.0","7","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"1","14","36","319","-5.0","55","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"32","2","8","21","0.0","13","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"21","2","8","30","1.0","14","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"7","1","8","6","3.0","14","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"5","5","5","125","-4.0","8","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"161","2","8","43","2.0","1","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"31","2","8","18","0.0","8","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"1","3","8","79","0.0","7","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"5","4","10","86","3.0","33","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"31","2","8","27","0.0","4","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"31","3","8","64","0.0","6","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"21","3","8","76","0.0","7","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"30","6","2","155","0.0","2","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"3","18","34","458","-3.0","2","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"2","10","42","201","2.0","10","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"1","12","36","252","0.0","1","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"2","19","51","504","0.0","1","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"32","2","8","47","0.0","1","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"1","16","59","389","0.0","1","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"127","15","52","333","0.0","1","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"7","24","40","667","-1.0","16","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"92","5","5","128","0.0","6","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"2","16","59","398","0.0","5","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"2","18","34","471","0.0","4","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"5","5","5","121","0.0","5","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"29","24","44","612","-1.0","4","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"5","1","8","8","0.0","5","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"4","1","8","15","0.0","9","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"32","2","8","17","0.0","5","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"1","2","8","22","1.0","3","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"5","4","10","93","0.0","15","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"1","2","8","40","-1.0","72","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"21","3","8","69","0.0","3","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"32","2","8","32","0.0","28","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"5","4","10","119","3.0","17","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"1","16","59","385","2.0","7","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"7","1","8","13","5.0","18","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"31","2","8","37","0.0","1","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"21","2","8","34","4.0","22","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"21","4","10","103","-1.0","18","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"5","8","5","173","0.0","1","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"2","12","36","250","-3.0","13","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"2","14","61","300","1.0","4","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"1","2","8","44","0.0","1","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"35","16","59","396","2.0","7","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"12","25","35","686","-4.0","11","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"1","14","36","312","0.0","10","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"32","2","8","33","3.0","15","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"5","5","5","123","0.0","15","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"5","5","5","127","0.0","6","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"1","5","5","120","0.0","12","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"41","5","5","133","3.0","12","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"21","3","8","78","0.0","1","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"5","4","10","107","-7.0","11","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"1","4","10","112","0.0","1","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"1","8","5","177","0.0","4","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"5","7","4","158","5.0","28","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"7","12","36","256","0.0","2","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"7","1","8","11","-2.0","27","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"21","3","8","70","5.0","15","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"32","2","8","49","0.0","18","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"1","4","10","82","1.0","4","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"1","4","10","92","-1.0","5","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"1","6","2","143","-1.0","14","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"5","6","2","151","-1.0","14","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"31","3","8","73","-1.0","8","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"21","4","10","110","0.0","4","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"1","5","5","122","-1.0","14","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"92","5","5","130","2.0","6","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"5","8","5","171","-1.0","9","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"1","10","42","210","0.0","5","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"31","4","10","116","0.0","1","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"2","10","42","217","-2.0","22","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"3","10","42","228","3.0","29","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"2","21","39","567","0.0","7","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"5","24","40","657","0.0","18","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"21","3","8","56","0.0","7","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"43","7","4","164","9.0","42","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"37","13","39","298","2.0","33","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"3","16","59","407","-6.0","29","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"52","20","51","523","0.0","13","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"1","2","8","38","0.0","2","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"1","4","10","118","0.0","1","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"30","6","2","152","0.0","2","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"1","7","4","159","0.0","2","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"41","18","34","467","2.0","10","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"5","5","5","139","2.0","4","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"10","14","36","318","-3.0","10","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"154","15","52","321","3.0","4","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"1","15","52","324","4.0","1","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"10","15","52","345","2.0","8","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"7","15","30","360","0.0","3","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"3","19","36","483","0.0","6","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"19","23","65","590","2.0","7","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"26","9","71","186","0.0","12","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"5","4","10","101","-5.0","21","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"1","2","8","25","1.0","3","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"32","3","8","60","-2.0","28","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"5","7","4","165","3.0","4","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"14","9","71","193","0.0","6","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"1","10","42","220","1.0","1","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"1","18","34","446","0.0","2","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"52","19","51","499","0.0","7","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"12","25","35","675","2.0","19","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"21","4","10","83","0.0","3","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"1","5","5","126","1.0","32","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"1","9","71","184","-1.0","14","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"7","15","30","364","0.0","12","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"21","3","8","72","-8.0","30","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"1","12","36","254","2.0","4","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"3","10","42","224","0.0","8","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
